Match Number,Round Number,Date,Location,Home Team,Away Team,Result
987,19,2025-03-18 00:10:00,Smoothie King Center,New Orleans Pelicans,Detroit Pistons,
988,19,2025-03-18 00:10:00,Frost Bank Center,San Antonio Spurs,Orlando Magic,
989,19,2025-03-18 01:10:00,Delta Center,Utah Jazz,Chicago Bulls,
990,19,2025-03-18 02:10:00,Chase Center,Golden State Warriors,Denver Nuggets,
991,19,2025-03-18 02:10:00,Footprint Center,Phoenix Suns,Toronto Raptors,
992,19,2025-03-18 02:10:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,
993,19,2025-03-18 23:10:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,
994,19,2025-03-18 23:40:00,TD Garden,Boston Celtics,Brooklyn Nets,
995,19,2025-03-19 02:10:00,Moda Center,Portland Trail Blazers,Washington Wizards,
996,19,2025-03-19 02:40:00,Crypto.com Arena,Los Angeles Lakers,Milwaukee Bucks,
997,19,2025-03-19 02:40:00,Intuit Dome,LA Clippers,Cleveland Cavaliers,
998,20,2025-03-19 23:10:00,Gainbridge Fieldhouse,Indiana Pacers,Dallas Mavericks,
999,20,2025-03-19 23:10:00,Kia Center,Orlando Magic,Houston Rockets,
1000,20,2025-03-19 23:40:00,Kaseya Center,Miami Heat,Detroit Pistons,
1001,20,2025-03-19 23:40:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,
1002,20,2025-03-20 00:10:00,Paycom Center,Oklahoma City Thunder,Philadelphia 76ers,
1003,20,2025-03-20 00:10:00,Frost Bank Center,San Antonio Spurs,New York Knicks,
1004,20,2025-03-20 01:10:00,Delta Center,Utah Jazz,LA Clippers,
1005,20,2025-03-20 02:10:00,Chase Center,Golden State Warriors,Toronto Raptors,
1006,20,2025-03-20 02:10:00,Crypto.com Arena,Los Angeles Lakers,Denver Nuggets,
1007,20,2025-03-20 02:10:00,Footprint Center,Phoenix Suns,Chicago Bulls,
1008,20,2025-03-20 02:10:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,
1009,20,2025-03-20 02:10:00,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers,
1010,20,2025-03-20 23:10:00,Spectrum Center,Charlotte Hornets,New York Knicks,
1011,20,2025-03-20 23:10:00,Gainbridge Fieldhouse,Indiana Pacers,Brooklyn Nets,
1012,20,2025-03-21 02:10:00,Chase Center,Golden State Warriors,Milwaukee Bucks,
1013,20,2025-03-21 02:10:00,Golden 1 Center,Sacramento Kings,Chicago Bulls,
1014,20,2025-03-21 23:10:00,Capital One Arena,Washington Wizards,Orlando Magic,
1015,20,2025-03-22 00:10:00,Kaseya Center,Miami Heat,Houston Rockets,
1016,20,2025-03-22 00:10:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,
1017,20,2025-03-22 00:10:00,Paycom Center,Oklahoma City Thunder,Charlotte Hornets,
1018,20,2025-03-22 00:10:00,Frost Bank Center,San Antonio Spurs,Philadelphia 76ers,
1019,20,2025-03-22 00:40:00,American Airlines Center,Dallas Mavericks,Detroit Pistons,
1020,20,2025-03-22 01:40:00,Delta Center,Utah Jazz,Boston Celtics,
1021,20,2025-03-22 02:10:00,Footprint Center,Phoenix Suns,Cleveland Cavaliers,
1022,20,2025-03-22 02:10:00,Moda Center,Portland Trail Blazers,Denver Nuggets,
1023,20,2025-03-22 02:40:00,Intuit Dome,LA Clippers,Memphis Grizzlies,
1024,20,2025-03-22 21:10:00,Gainbridge Fieldhouse,Indiana Pacers,Brooklyn Nets,
1025,20,2025-03-22 23:10:00,State Farm Arena,Atlanta Hawks,Golden State Warriors,
1026,20,2025-03-23 00:10:00,Madison Square Garden,New York Knicks,Washington Wizards,
